id_escola,codigo_inep,nome_canonico,tipo_ficha,assessora_gerencial_2026,status_geracao,mensagem_erro,arquivo_html,html_existe,arquivo_grafico_operacional,grafico_operacional_existe,arquivo_grafico_participacao,grafico_participacao_existe,arquivo_grafico_proficiencia,grafico_proficiencia_existe
ESC_011,43109225,EMEF DEP VICTOR ISSLER,OPERACIONAL,clarissa,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_011_emef-dep-victor-issler.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_011_emef-dep-victor-issler_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_011_emef-dep-victor-issler_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_011_emef-dep-victor-issler_proficiencia.png,TRUE
ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,OPERACIONAL,jalize,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_012_emef-dolores-alcaraz-caldas.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_012_emef-dolores-alcaraz-caldas_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_012_emef-dolores-alcaraz-caldas_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_012_emef-dolores-alcaraz-caldas_proficiencia.png,TRUE
ESC_013,43106331,EMEF ESPIRITO SANTO,OPERACIONAL,priscila,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_013_emef-espirito-santo.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_013_emef-espirito-santo_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_013_emef-espirito-santo_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_013_emef-espirito-santo_proficiencia.png,TRUE
ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,OPERACIONAL,jalize,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_014_emef-evaristo-goncalves-netto.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_014_emef-evaristo-goncalves-netto_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_014_emef-evaristo-goncalves-netto_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_014_emef-evaristo-goncalves-netto_proficiencia.png,TRUE
ESC_015,43109233,EMEF GABRIEL OBINO,OPERACIONAL,amanda,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_015_emef-gabriel-obino.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_015_emef-gabriel-obino_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_015_emef-gabriel-obino_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_015_emef-gabriel-obino_proficiencia.png,TRUE
ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,OPERACIONAL,clarissa,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_016_emef-gov-ildo-meneghetti.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_016_emef-gov-ildo-meneghetti_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_016_emef-gov-ildo-meneghetti_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_016_emef-gov-ildo-meneghetti_proficiencia.png,TRUE
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,OPERACIONAL,andreia,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_017_emef-grande-oriente-do-rgs.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_017_emef-grande-oriente-do-rgs_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_017_emef-grande-oriente-do-rgs_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_017_emef-grande-oriente-do-rgs_proficiencia.png,TRUE
ESC_018,43105548,EMEF HEITOR VILLA LOBOS,OPERACIONAL,jalize,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_018_emef-heitor-villa-lobos.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_018_emef-heitor-villa-lobos_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_018_emef-heitor-villa-lobos_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_018_emef-heitor-villa-lobos_proficiencia.png,TRUE
ESC_019,43172474,EMEF JEAN PIAGET,OPERACIONAL,clarissa,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_019_emef-jean-piaget.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_019_emef-jean-piaget_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_019_emef-jean-piaget_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_019_emef-jean-piaget_proficiencia.png,TRUE
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,OPERACIONAL,eliane,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_020_emef-joao-antonio-satte.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_020_emef-joao-antonio-satte_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_020_emef-joao-antonio-satte_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_020_emef-joao-antonio-satte_proficiencia.png,TRUE
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,OPERACIONAL,julia,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_021_emef-joao-carlos-davila-paixao-cortes-lacador.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_021_emef-joao-carlos-davila-paixao-cortes-lacador_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_021_emef-joao-carlos-davila-paixao-cortes-lacador_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_021_emef-joao-carlos-davila-paixao-cortes-lacador_proficiencia.png,TRUE
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,OPERACIONAL,jalize,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_022_emef-jose-loureiro-da-silva.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_022_emef-jose-loureiro-da-silva_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_022_emef-jose-loureiro-da-silva_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_022_emef-jose-loureiro-da-silva_proficiencia.png,TRUE
ESC_023,43169490,EMEF JOSE MARIANO BECK,OPERACIONAL,nathalia,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_023_emef-jose-mariano-beck.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_023_emef-jose-mariano-beck_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_023_emef-jose-mariano-beck_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_023_emef-jose-mariano-beck_proficiencia.png,TRUE
ESC_024,43109209,EMEF LAURO RODRIGUES,OPERACIONAL,clarissa,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_024_emef-lauro-rodrigues.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_024_emef-lauro-rodrigues_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_024_emef-lauro-rodrigues_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_024_emef-lauro-rodrigues_proficiencia.png,TRUE
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,OPERACIONAL,graziela,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_025_emef-leocadia-felizardo-prestes.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_025_emef-leocadia-felizardo-prestes_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_025_emef-leocadia-felizardo-prestes_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_025_emef-leocadia-felizardo-prestes_proficiencia.png,TRUE
ESC_026,43109144,EMEF LIDOVINO FANTON,OPERACIONAL,julia,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_026_emef-lidovino-fanton.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_026_emef-lidovino-fanton_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_026_emef-lidovino-fanton_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_026_emef-lidovino-fanton_proficiencia.png,TRUE
ESC_027,43183018,EMEF MARIO QUINTANA,OPERACIONAL,ruti,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_027_emef-mario-quintana.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_027_emef-mario-quintana_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_027_emef-mario-quintana_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_027_emef-mario-quintana_proficiencia.png,TRUE
